48291|Acrylic Paint Set (24 Colors)|29.99|Paint
10573|Sketch Pad (9x12 Spiral)|8.49|Paper
77420|Professional Oil Paint Tube (Cadmium Red)|12.75|Paint
33918|Round Paintbrush Set (10 Pack)|15.99|Brushes
56042|Canvas Panel Pack (8x10, 5 Pack)|11.25|Canvas
91834|Graphite Pencil Set (12 Grades)|9.95|Drawing
24689|Alcohol Markers (36 Pack)|34.50|Markers
67105|Wooden Easel (Adjustable Studio)|89.99|Equipment
15377|Palette Knife Set (5 Pieces)|13.40|Tools
80426|Watercolor Paint Set (18 Colors)|22.60|Paint
39751|Charcoal Sticks (Soft, Medium, Hard)|7.80|Drawing
62590|Blending Stumps (6 Pack)|5.25|Drawing
71044|Ink Pen Set (Fine Line, 8 Pack)|14.30|Drawing
28463|Canvas Roll (Primed Cotton, 6 ft)|27.99|Canvas
93218|Fixative Spray (Matte Finish)|16.20|Supplies
46825|Colored Pencil Set (48 Pack)|19.75|Drawing
55971|Palette (Plastic, 10 Wells)|4.99|Tools
12068|Gesso Primer (16 oz)|14.10|Supplies
87349|Calligraphy Starter Kit|21.45|Specialty
34592|Cutting Mat (Self-Healing, 12x18)|18.90|Tools
